CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2020;1;158
107390;INGENIERIA FINANCIERA;2020;1;165
107391;CIENCIAS AMBIENTALES;2020;1;94
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2020;1;136
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2020;1;448
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2020;1;15
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2020;1;122
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2020;1;51
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2020;1;169
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2021;1;188
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2021;1;761
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2021;1;95
52129;INGENIERIA ELECTRÓNICA;2021;1;19
52130;INGENIERIA ELECTROMECÁNICA;2021;1;55
52131;INGENIERIA DE PRODUCCIÓN;2021;1;61
52205;INGENIERIA DE SISTEMAS;2021;1;85
52299;INGENIERÍA DE TELECOMUNICACIONES;2021;1;21
53340;INGENIERÍA BIOMÉDICA;2021;1;198
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2021;1;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2021;1;129
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2021;1;313
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2021;1;126
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2021;1;15
55018;ESPECIALIZACIÓN EN FINANZAS;2021;1;30
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2021;1;91
55072;ADMINISTRACIÓN TECNÓLOGICA;2021;1;283
90355;ARTES VISUALES;2021;1;50
90442;INGENIERÍA MECATRÓNICA;2021;1;244
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2021;1;4
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2021;1;8
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2021;1;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2021;1;98
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2021;1;5
104332;QUÍMICA INDUSTRIAL;2021;1;85
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2021;1;64
104740;MAESTRÍA EN ARTES DIGITALES;2021;1;2
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2021;1;7
105852;CONTADURÍA PÚBLICA;2021;1;256
106188;INGENIERÍA DE LA CALIDAD;2021;1;71
106314;CINE;2021;1;55
106505;MAESTRÍA EN METROLOGÍA;2021;1;2
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2021;1;7
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2021;1;207
106973;DOCTORADO EN INGENIERÍA;2021;1;6
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2021;1;133
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2021;1;233
107390;INGENIERIA FINANCIERA;2021;1;147
107391;CIENCIAS AMBIENTALES;2021;1;80
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2021;1;207
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;1;579
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;1;11
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;1;203
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;1;79
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;1;38
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;1;30
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;1;196
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;1;75
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;1;351
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;1;38
52129;INGENIERIA ELECTRÓNICA;2022;1;8
52130;INGENIERIA ELECTROMECÁNICA;2022;1;28
52131;INGENIERIA DE PRODUCCIÓN;2022;1;63
52205;INGENIERIA DE SISTEMAS;2022;1;64
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;1;15
53340;INGENIERÍA BIOMÉDICA;2022;1;91
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;67
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;262
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;1;46
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;1;10
55018;ESPECIALIZACIÓN EN FINANZAS;2022;1;25
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;1;66
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;1;286
90355;ARTES VISUALES;2022;1;37
90442;INGENIERÍA MECATRÓNICA;2022;1;302
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;9
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;1;5
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;1;19
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;1;116
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;1;2
104332;QUÍMICA INDUSTRIAL;2022;1;69
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;1;39
104740;MAESTRÍA EN ARTES DIGITALES;2022;1;13
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;1;5
105852;CONTADURÍA PÚBLICA;2022;1;220
106188;INGENIERÍA DE LA CALIDAD;2022;1;88
106314;CINE;2022;1;31
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;1;8
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;1;161
106973;DOCTORADO EN INGENIERÍA;2022;1;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;1;151
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;1;159
107390;INGENIERIA FINANCIERA;2022;1;125
107391;CIENCIAS AMBIENTALES;2022;1;64
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;1;98
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;1;532
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;1;6
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;1;216
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;1;91
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;1;76
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;1;46
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;1;60
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;1;30
55072;ADMINISTRACION TECNOLOGICA;2023;1;27
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;130
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;19
90355;ARTES VISUALES;2023;1;20
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;1;31
53800;TECNOLOGIA EN CALIDAD;2023;1;3
107391;CIENCIAS AMBIENTALES;2023;1;8
106314;CINE;2023;1;18
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;25
105852;CONTADURIA PUBLICA;2023;1;123
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;1;35
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;1;13
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;1;193
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;1;21
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;1;25
106973;DOCTORADO EN INGENIERIA;2023;1;1
11085;TECNOLOGIA EN ELECTRONICA;2023;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;1;204
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;1;38
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;1;11
