CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;EGRESADOS
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2017;2;4
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2017;2;3
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;2;19
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2017;2;90
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2017;2;108
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2017;2;56
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2018;1;57
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2018;1;175
90355;ARTES VISUALES;ARTES VISUALES;2018;1;14
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2018;1;29
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;1;45
